PMID
25128318
29572721
33471182
23744445
31258246
29887647
33612868
26275633
31830495
32732017
25583383
31756340
25277283
27375276
32687883
33271162
32055104
28702345
29029962
30704846
30655223
26365173
29331218
29475638
32039624
34945925
32385232
29116142
30446766
31040386
31558746
31727928
32132646
33980875
33980896
34376705
34645899
31564212
31413788
33376985
32488244
25056572
32083297
32676200
34345441
34457352
34484808
30042835
31528360
33629102
25788538
27683002
28637913
29167370
29038652
29343629
31039693
31865883
25267823
31221820
27895566
30627670
29894658
33253028
30090873
30090873
32324758
19641614
23110076
28282439
29621266
32433704
33119490
27517087
25642175
34248515
23133414
30618705
33013346
34675792
30483088
32508611
33304260
33935674
24137116
24348359
24723872
24999325
25018724
27303283
33061902
33828471
32410937
34267621
30294264
30568581
20631840
27895560
34720895
34803619
35002643
21960978
22586414
24109469
25750630
26379583
27471478
27445895
27826271
29780343
29867642
30072943
30416474
30559703
30988668
31555159
31607993
31636594
31824382
31920779
31920873
33250804
33240146
33505336
33362668
33584461
34354621
34777176
23750138
32499726
33363481
33733149
33733186
33500908
34901166
33807679
34827383
33096824
33266972
33286308
33286336
33562847
33669529
33673663
34068913
34202965
34441172
34441216
34573780
34828082
34828219
34945871
34946007
31735816
31115833
33372237
34652601
34113717
31074743
20369004
22013413
22023743
22241972
22654776
23129312
23436989
23785269
23825119
24062658
24093015
24440530
24446823
24583455
25161615
25563935
25957007
26217215
26581305
26690814
26921713
27378899
27507953
27798257
28226255
28416414
29093675
29190328
29304087
29407941
29417960
29478431
29527157
29643221
29740369
29747865
29887648
30007575
30012517
30214404
30429814
30608922
30618988
30687519
30760743
30761057
30862291
30890965
30982126
30984063
30996493
31249516
31298270
31430277
31562544
31607878
32269536
32390817
32633715
32818063
32831534
33039973
33041935
33192765
33265602
33266666
33266776
33270644
33286659
33335499
33343039
33488462
33489551
33501036
33551917
33627890
33704439
33708164
33732119
33733195
33746730
33810573
33921298
33927605
33948044
34106918
34199648
34202804
34210008
34311031
34456822
34650816
34721166
34804145
34819563
34866668
34867580
30381799
34682030
